Role,Branch,Service,Years_in_military,Liked_art_supplies,Enjoyed_art_exercises,CAV_improved_mood,CAV_provided_strategies,Would_recommend_CAV,Age,Gender
2,1,4,13,1,1,1,1,1,50,2
2,4,1,21,1,1,2,2,1,53,2
2,3,1,4,1,1,1,1,1,38,1
2,1,1,9,1,3,3,3,1,57,1
2,1,1,21,1,3,1,2,1,47,1
2,1,1,4,1,1,2,2,1,45,2
2,2,4,12,1,1,1,1,1,42,2
2,1,1,5,1,2,2,1,1,36,2
2,1,1,6,1,1,1,1,1,49,2
2,1,1,2,1,1,1,1,1,53,2
6,5,1,20,1,2,2,2,1,73,2
2,2,1,7,1,1,1,1,1,58,2
2,1,1,2,1,1,1,1,1,52,1
2,1,1,20,1,1,1,1,1,54,1
2,3,1,5,3,3,3,3,2,81,1
2,3,1,6,2,6,6,6,1,54,2
6,4,4,22,1,1,1,1,1,54,2
2,1,1,2,1,1,1,3,1,48,2
2,2,1,4,6,6,6,6,1,54,2
2,1,1,22,1,2,2,2,1,50,2
2,2,1,20,1,6,6,6,6,39,1
2,1,2,16,1,1,1,1,1,80,1
2,1,4,28,1,1,1,1,1,63,1
2,1,1,3,1,1,1,1,1,53,2
6,1,4,20,1,1,1,1,1,71,2
2,1,1,4,1,1,1,3,1,58,2
2,1,1,10,1,1,1,2,1,43,1
2,1,4,21,1,1,2,2,1,62,2
2,1,1,3,1,2,3,2,1,48,1
2,9,4,21,1,1,1,1,1,70,1
2,2,1,4,1,1,2,2,1,65,1
2,1,1,8,1,2,2,2,1,36,2
2,1,1,3,1,2,3,3,1,57,2
2,1,1,22,1,2,2,2,1,44,1
6,1,4,27,1,1,1,1,1,60,1
2,1,1,20,1,1,1,1,1,57,1
2,4,1,5,1,1,1,1,1,77,1
2,1,1,4,2,2,2,2,2,62,1
6,1,4,13,3,3,3,3,3,32,2
2,1,1,8,1,1,1,1,1,73,1
2,1,1,7,1,1,1,1,1,60,1
6,1,4,25,2,2,2,1,1,0,6
2,1,1,3,1,1,2,2,1,49,1
2,1,2,9,1,1,1,1,1,36,1
2,1,1,4,1,3,3,3,1,58,2
2,2,1,29,1,1,1,1,1,54,1
2,1,1,5,1,1,1,1,1,42,2
2,2,1,4,1,1,2,1,1,41,2
2,1,1,9,1,1,1,1,1,66,1
6,2,1,31,1,1,1,1,1,52,1
2,1,4,24,1,1,1,1,1,49,2
2,1,1,7,1,1,1,1,1,41,1
2,1,1,8,1,1,1,2,1,65,2
6,1,1,2,1,3,3,3,1,66,1
2,3,1,4,1,1,2,2,1,40,1
2,4,1,4,3,6,6,6,6,25,2
2,1,1,8,1,1,1,1,1,77,1
2,2,1,23,1,2,2,2,2,75,1
2,2,1,26,1,1,2,2,1,58,1
6,1,1,8,1,1,1,1,1,34,2
2,9,1,21,1,1,1,1,1,45,1
6,1,4,12,3,3,3,3,3,42,2
2,1,1,4,1,1,1,1,1,40,2
2,1,1,2,1,3,3,3,1,53,2
2,1,1,8,2,2,1,2,1,68,1
2,1,2,28,2,2,2,3,2,74,1
2,1,1,3,1,1,2,3,3,68,2
2,1,1,9,3,2,3,3,2,64,2
6,1,1,8,1,2,1,2,2,27,2
6,1,4,7,1,1,1,1,1,65,2
2,1,3,12,1,1,1,1,1,55,2
6,4,4,24,1,1,1,1,1,51,2
6,1,1,4,2,2,2,2,2,43,2
6,2,1,7,1,1,1,1,1,51,2
2,4,1,10,1,1,1,2,1,50,2
6,2,4,6,2,3,3,3,5,46,2
2,2,4,12,1,1,1,1,1,41,1
2,1,1,8,2,1,2,2,1,70,7
2,3,1,2,1,1,2,2,1,29,2
2,3,1,4,1,2,1,1,1,49,2
2,3,1,15,1,1,1,1,1,49,2
2,1,1,15,1,1,1,1,1,63,1
2,1,4,27,1,2,2,2,2,44,2
1,2,1,20,1,1,2,2,2,38,2
6,1,3,20,1,1,1,1,1,46,1
6,1,3,20,1,1,1,1,1,52,2
6,13,4,8,1,1,1,1,1,66,1
2,1,1,12,1,2,2,1,1,54,1
2,1,1,4,1,1,1,1,1,62,1
2,4,1,4,1,1,1,1,1,69,2
2,4,1,14,1,1,3,3,2,66,1
6,2,1,23,1,1,1,1,1,50,1
2,1,4,31,1,1,1,1,1,44,1
2,1,4,18,1,2,2,1,1,64,1
2,3,4,21,1,1,1,2,1,55,1
2,1,1,23,1,1,1,1,1,65,1
2,2,1,15,1,2,2,2,1,69,1
2,1,1,9,1,1,2,1,1,52,1
2,3,4,12,1,1,1,1,1,59,1
2,1,4,28,1,1,1,6,1,40,1
2,1,1,10,1,1,1,1,1,23,2
2,1,1,13,1,2,2,2,1,57,2
2,1,3,8,1,2,1,2,1,50,2
2,4,1,11,1,1,2,2,1,49,2
6,1,1,8,1,1,1,1,1,61,4
6,1,1,20,1,1,1,1,1,65,2
2,1,1,3,2,1,1,1,2,82,1
2,1,1,11,1,1,1,1,1,44,1
2,2,4,28,1,1,1,1,1,56,2
6,4,1,5,1,1,1,1,1,70,1
6,1,1,8,1,1,1,1,1,44,2
2,1,1,33,1,1,1,1,1,59,2
2,4,1,8,1,1,1,1,1,75,1
2,1,1,3,3,3,3,3,3,61,2
2,2,1,6,1,1,2,1,1,50,2
2,2,1,3,1,1,1,1,1,60,1
2,4,4,6,1,1,2,1,1,40,2
2,1,4,22,1,1,1,1,1,38,1
2,1,4,8,1,1,2,2,1,38,1
1,1,1,20,1,2,2,2,2,53,2
3,12,1,8,1,1,1,1,1,48,2
2,2,1,20,2,2,2,1,1,68,1
2,3,4,18,1,2,1,1,1,65,2
2,3,1,20,1,1,1,1,1,50,2
2,4,1,6,1,1,2,3,1,36,2
6,1,3,12,1,1,1,1,1,44,2
2,1,4,26,1,1,1,2,3,49,1
2,1,1,4,2,1,1,1,1,26,2
